學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別,seg
1,國立政治大學,01111001,教育學系,D 日,D 博士,117,0,18,30 臺北市,1 一般,['教育']
1,國立政治大學,01111001,教育學系,D 日,M 碩士,27,0,7,30 臺北市,1 一般,['教育']
1,國立政治大學,01111001,教育學系,D 日,B 學士,213,14,57,30 臺北市,1 一般,['教育']
1,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,49,1,12,30 臺北市,1 一般,"['行政', '教育', '政策']"
1,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,79,0,25,30 臺北市,1 一般,['行政']
1,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,47,3,5,30 臺北市,1 一般,"['幼兒', '教育']"
1,國立政治大學,01199Y03,教育學院,D 日,,0,5,0,30 臺北市,1 一般,"['學院', '教育']"
1,國立政治大學,02211019,宗教研究所,D 日,D 博士,29,0,4,30 臺北市,1 一般,['宗教']
1,國立政治大學,02211019,宗教研究所,D 日,M 碩士,25,5,4,30 臺北市,1 一般,['宗教']
1,國立政治大學,02221020,歷史學系,D 日,D 博士,28,0,2,30 臺北市,1 一般,['歷史']
1,國立政治大學,02221020,歷史學系,D 日,M 碩士,63,0,14,30 臺北市,1 一般,['歷史']
1,國立政治大學,02221020,歷史學系,D 日,B 學士,167,18,24,30 臺北市,1 一般,['歷史']
1,國立政治大學,02221021,台灣史研究所,D 日,D 博士,20,0,4,30 臺北市,1 一般,['台灣史']
1,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,49,8,10,30 臺北市,1 一般,['台灣史']
1,國立政治大學,02222031,民族學系,D 日,D 博士,19,0,1,30 臺北市,1 一般,['民族']
1,國立政治大學,02222031,民族學系,D 日,M 碩士,28,0,1,30 臺北市,1 一般,['民族']
1,國立政治大學,02222031,民族學系,D 日,B 學士,174,9,30,30 臺北市,1 一般,['民族']
1,國立政治大學,02231022,哲學系,D 日,D 博士,25,0,2,30 臺北市,1 一般,['哲學系']
1,國立政治大學,02231022,哲學系,D 日,M 碩士,44,0,7,30 臺北市,1 一般,['哲學系']
1,國立政治大學,02231022,哲學系,D 日,B 學士,179,14,28,30 臺北市,1 一般,['哲學系']
1,國立政治大學,02311009,英國語文學系,D 日,D 博士,21,0,6,30 臺北市,1 一般,"['英國語', '文學系']"
1,國立政治大學,02311009,英國語文學系,D 日,M 碩士,57,0,11,30 臺北市,1 一般,"['英國語', '文學系']"
1,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,38,0,9,30 臺北市,1 一般,"['英國語', '文學系', '英語', '教學']"
1,國立政治大學,02311009,英國語文學系,D 日,B 學士,291,23,63,30 臺北市,1 一般,"['英國語', '文學系']"
1,國立政治大學,02311011,日本語文學系,D 日,M 碩士,21,0,7,30 臺北市,1 一般,"['語文學系', '日本']"
1,國立政治大學,02311011,日本語文學系,D 日,B 學士,178,8,43,30 臺北市,1 一般,"['語文學系', '日本']"
1,國立政治大學,02311012,阿拉伯語文學系,D 日,B 學士,171,5,47,30 臺北市,1 一般,"['語文學系', '阿拉伯']"
1,國立政治大學,02311014,韓國語文學系,D 日,M 碩士,17,0,1,30 臺北市,1 一般,"['韓國語', '文學系']"
1,國立政治大學,02311014,韓國語文學系,D 日,B 學士,138,8,35,30 臺北市,1 一般,"['韓國語', '文學系']"
1,國立政治大學,02311015,土耳其語文學系,D 日,B 學士,120,7,22,30 臺北市,1 一般,"['語文學系', '土耳其']"
1,國立政治大學,02311016,歐洲語文學系,D 日,B 學士,264,11,65,30 臺北市,1 一般,"['歐洲語', '文學系']"
